year,make,model,series,style,id,classification,mpge,mpkWh,mpg,totalRange,capacity
2019,Audi,Q7,,,2019-Audi-Q7--,,,,21,472,
2020,Audi,Q5,Premium Plus,4D SUV 2.0T PHEV,2020-Audi-Q5-Premium Plus-4D SUV 2.0T PHEV,PHEV,65,1.93,26.5403,20,10.4
2020,Tesla,Model Y,Performance,4D SUV,2020-Tesla-Model Y-Performance-4D SUV,EV,111,3.29,-,291,88.3
2014,Toyota,RAV4,EV,4D SUV FWD,2014-Toyota-RAV4-EV-4D SUV FWD,EV,76,2.26,-,103,45.7
2021,Volvo,XC60,T8 - Polestar,4D SUV PHEV,2021-Volvo-XC60-T8 - Polestar-4D SUV PHEV,PHEV,57,1.69,26.6484,19,11.2
